season,week,celebrity_name,vote_share_est,std_dev,ci_width_95,judge_score,base_popularity,perf_share,is_eliminated
3,5,Emmitt Smith,0.3353349903586911,0.06576106916352471,0.25355049801499185,27.0,0.38252848126628375,0.14917127071823205,False
3,5,Mario Lopez,0.23754775780108933,0.05919764847647232,0.2312540320548407,27.0,0.26029539245623456,0.14917127071823205,False
3,5,Monique Coleman,0.09598987708249243,0.03962806970281814,0.15205170532746604,27.0,0.07951005677930062,0.14917127071823205,False
3,5,Willa Ford,0.05331022178547434,0.03206566253941568,0.12186012115192732,27.0,0.03571914316760295,0.14917127071823205,True
3,5,Joey Lawrence,0.13381490287906125,0.0465067068591557,0.18025305109147177,25.0,0.13044706822452493,0.13812154696132597,False
3,5,Jerry Springer,0.08911858959643179,0.03500579958281189,0.13644857162533247,24.0,0.06449520910477416,0.13259668508287292,False
3,5,Sara Evans,0.05488366049676081,0.031265939836173394,0.12037520118717161,24.0,0.04700464900127907,0.13259668508287292,True
3,7,Emmitt Smith,0.3763767670745061,0.06851870018132261,0.26649732614577326,28.5,0.4170264943105469,0.2111111111111111,False
3,7,Joey Lawrence,0.1581125367187491,0.05022330300496,0.193773279887511,28.5,0.14221132861710709,0.2111111111111111,False
3,7,Mario Lopez,0.27106989492772204,0.062112236911034034,0.2401364384643693,28.0,0.2837699160122097,0.2074074074074074,False
3,7,Monique Coleman,0.11825760530387155,0.04153637192124702,0.1612748676099645,27.0,0.08668060514433337,0.2,False
3,7,Jerry Springer,0.07618319597515301,0.028720767777145866,0.10941034395194095,23.0,0.070311655915803,0.17037037037037037,True
3,8,Mario Lopez,0.2970509593188961,0.06319673954520683,0.2450608567748536,28.5,0.30523122917254747,0.26146788990825687,False
3,8,Emmitt Smith,0.40905065124855716,0.06920434399907698,0.2696626222935855,27.0,0.44856590594490553,0.24770642201834864,False
3,8,Joey Lawrence,0.18622137406684916,0.04873152127761744,0.1926214034666105,27.0,0.15296666837013476,0.24770642201834864,False
3,8,Monique Coleman,0.10767701536569822,0.035224806662128634,0.13540355177644647,26.5,0.0932361965124123,0.24311926605504589,True
3,10,Emmitt Smith,0.5932849491448919,0.05516531513502536,0.20454992785764015,29.666600000000003,0.5950751005109779,0.5,False
3,10,Mario Lopez,0.4067150508551099,0.055165315135025324,0.20454992785764015,29.666600000000003,0.4049248994890221,0.5,False
4,2,Laila Ali,0.15979446242964146,0.05028772910909952,0.19337368517570303,27.0,0.17325603473823417,0.11020408163265306,False
4,2,Apolo Anton Ohno,0.254110051845923,0.06057984858780785,0.23532669554751778,26.0,0.29344070970600583,0.10612244897959183,False
4,2,Heather Mills,0.027529584336727718,0.022745011556141705,0.08669774627695458,24.0,0.009968238208497616,0.09795918367346938,False
4,2,Joey Fatone,0.1979956124549906,0.05517281221009146,0.21550255983214464,24.0,0.22449579909796727,0.09795918367346938,False
4,2,Ian Ziering,0.09489634047824201,0.0416797066924129,0.15899290871293348,22.0,0.09666957969395172,0.08979591836734693,False
4,2,Billy Ray Cyrus,0.08755261592496245,0.039814913300468935,0.15291125998372535,21.0,0.08835053223955648,0.08571428571428572,False
